"a3","name","block_density","block_density_legend","transport_street_types","transport_street_types_legend","transport_rail_types","transport_rail_types_legend","transport_freight_types","transport_freight_types_legend","non_highways","non_highways_legend","car_free_areas","car_free_areas_legend","streets","streets_legend","parking_blocks","parking_blocks_legend"
"BGR","Bulgaria",82.4109810693081,82.4109810693081,0.109756438947726,0.109756438947726,0.433415773190961,0.433415773190961,0,0,0.629918693566054,0.629918693566054,0.694151954459223,0.694151954459223,0.814958930932708,0.814958930932708,0.166149851400482,0.166149851400482
"SRB","Serbia",56.047243716615,56.047243716615,0.157684326369697,0.157684326369697,0,0,0.795497097253594,0.795497097253594,0.705343031965811,0.705343031965811,0.600210228298549,0.600210228298549,0.769522543895913,0.769522543895913,0.163819203410016,0.163819203410016
"HRV","Croatia",70.6692333613074,70.6692333613074,0.34708596279135,0.34708596279135,0,0,0.768784008604773,0.768784008604773,0.758784537523652,0.758784537523652,0.739395838742925,0.739395838742925,0.808919373422808,0.808919373422808,0.371939202402729,0.371939202402729
"ROU","Romania",63.4926310176982,63.4926310176982,0.0372306529461461,0.0372306529461461,0.443273222898462,0.443273222898462,NA,NA,0.548812703890953,0.548812703890953,0.499119133518945,0.499119133518945,0.841887721696835,0.841887721696835,0.0581277992387344,0.0581277992387344
"HUN","Hungary",63.7842026999856,63.7842026999856,0,0,0.274572514915826,0.274572514915826,0.834206109300064,0.834206109300064,0.783589949504257,0.783589949504257,0.624384945460934,0.624384945460934,0.860527726560577,0.860527726560577,0.228428678980685,0.228428678980685
"AUT","Austria",81.0013714834566,81.0013714834566,0,0,0.545781287755416,0.545781287755416,0.84801533133153,0.84801533133153,0.730650285702072,0.730650285702072,0.844058935022655,0.844058935022655,0.886607927143211,0.886607927143211,0.559759191775787,0.559759191775787
"CZE","Czechia",97.3121964252515,97.3121964252515,0.174359828621612,0.174359828621612,0.430446120003779,0.430446120003779,0.887233278708239,0.887233278708239,0.624114815085911,0.624114815085911,0.911984380319588,0.911984380319588,0.857128133497856,0.857128133497856,0.182416679987415,0.182416679987415
"POL","Poland",80.5733069177533,80.5733069177533,0.176753788353476,0.176753788353476,0.120810743294417,0.120810743294417,0.660218559357939,0.660218559357939,0.647181764280407,0.647181764280407,0.828262546639669,0.828262546639669,0.862940249286726,0.862940249286726,0.577331001913607,0.577331001913607
"BLR","Belarus",103.240306883962,103.240306883962,0.0662115794506439,0.0662115794506439,0.271280772179037,0.271280772179037,NA,NA,0.561547752420413,0.561547752420413,0.820237650109758,0.820237650109758,0.854505833803357,0.854505833803357,0.0973289660940255,0.0973289660940255
"AUS","Australia",41.5744768403584,41.5744768403584,0.099634770464234,0.099634770464234,0.111088519336001,0.111088519336001,0.282342067256105,0.282342067256105,0.68457155910243,0.68457155910243,0.623092544770195,0.623092544770195,0.550254782110577,0.550254782110577,0.342647365501362,0.342647365501362
